City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,yuzhno-kurilsk,44.0306,145.8556,5.76,84,6,4.38,RU,1700531609
1,port-aux-francais,-49.35,70.2167,2.31,63,54,15.91,TF,1700531610
2,whitehorse,60.7161,-135.0538,-15.55,84,100,1.03,CA,1700531611
3,wailua homesteads,22.0669,-159.378,26.24,82,100,6.17,US,1700531612
4,crane,31.3974,-102.3501,14.75,40,21,5.05,US,1700531612
5,waitangi,-43.9535,-176.5597,12.46,82,93,7.34,NZ,1700531613
6,lebu,-37.6167,-73.65,10.54,86,100,0.63,CL,1700531614
7,novokruchininskiy,51.7833,113.7667,-7.15,53,28,3.33,RU,1700531615
8,chul'man,56.8479,124.9104,-15.88,87,99,5.5,RU,1700531616
9,arraial do cabo,-22.9661,-42.0278,22.48,84,100,5.1,BR,1700531617
10,nova sintra,14.8667,-24.7167,20.96,71,100,3.52,CV,1700531617
11,shihezi,44.3,86.0333,1.35,81,9,1.27,CN,1700531618
12,bredasdorp,-34.5322,20.0403,15.98,73,97,3.58,ZA,1700531619
13,ilulissat,69.2167,-51.1,-1.99,74,100,5.14,GL,1700531620
14,atafu village,-8.5421,-172.5159,28.55,75,100,4.89,TK,1700531621
15,ola,59.5833,151.2833,-12.5,65,40,4.78,RU,1700531621
16,tofol,5.3248,163.0078,30.88,66,75,2.57,FM,1700531622
17,talnakh,69.4865,88.3972,-33.88,99,96,4.07,RU,1700531623
18,soio,-6.1349,12.3689,25.9,88,100,2.44,AO,1700531623
19,saudarkrokur,65.7461,-19.6394,6.44,84,100,10.62,IS,1700531624
20,tazovsky,67.4667,78.7,-23.59,98,80,3.39,RU,1700531624
21,east end,34.5507,-92.341,12.84,95,88,0.45,US,1700531625
22,ulladulla,-35.35,150.4667,27.65,63,97,4.92,AU,1700531626
23,codrington,-38.2667,141.9667,18.24,58,7,7.0,AU,1700531626
24,port elizabeth,-33.918,25.5701,20.73,90,40,6.17,ZA,1700531627
25,olonkinbyen,70.9221,-8.7187,1.87,87,100,10.22,SJ,1700531627
26,west island,-12.1568,96.8225,27.99,65,40,7.2,CC,1700531628
27,hawaiian paradise park,19.5933,-154.9731,26.73,75,20,3.6,US,1700531629
28,troy,42.6056,-83.1499,3.08,67,0,6.17,US,1700531330
29,chazuta,-6.5742,-76.1367,27.47,75,94,0.44,PE,1700531630
30,adamstown,-25.066,-130.1015,20.85,83,100,4.78,PN,1700531631
31,boyolangu,-8.1181,111.8935,30.04,56,47,3.49,ID,1700531632
32,preili,56.2944,26.7246,-5.67,93,89,1.86,LV,1700531632
33,edinburgh of the seven seas,-37.0676,-12.3116,14.25,84,24,16.16,SH,1700531633
34,hamilton,39.1834,-84.5333,8.97,80,100,4.63,US,1700531459
35,grytviken,-54.2811,-36.5092,1.19,98,100,3.11,GS,1700531634
36,iqaluit,63.7506,-68.5145,-7.15,85,75,13.38,CA,1700531635
37,eyl,7.9803,49.8164,25.57,78,86,4.72,SO,1700531636
38,psyzh,44.2331,42.0183,2.48,91,100,5.3,RU,1700531636
39,flin flon,54.7682,-101.865,-6.65,70,99,7.37,CA,1700531637
40,corowa,-36.0333,146.3833,29.21,44,89,2.48,AU,1700531638
41,yellowknife,62.456,-114.3525,-13.1,96,20,6.69,CA,1700531479
42,fuxin,42.0156,121.6589,6.32,64,94,1.92,CN,1700531639
43,bilibino,68.0546,166.4372,-18.37,97,100,2.57,RU,1700531639
44,kerikeri,-35.2268,173.9474,21.04,68,38,1.56,NZ,1700531640
45,bahula,23.6518,87.1647,17.95,94,20,1.03,IN,1700531641
46,invercargill,-46.4,168.35,17.43,55,86,3.32,NZ,1700531641
47,tadine,-21.55,167.8833,24.63,58,38,6.57,NC,1700531642
48,bethel,41.3712,-73.414,2.19,58,0,0.0,US,1700531631
49,namdrik,5.5994,168.1028,28.53,77,100,5.39,MH,1700531644
50,namibe,-15.1961,12.1522,24.45,65,99,5.09,AO,1700531645
51,acapulco de juarez,16.8634,-99.8901,28.9,79,20,4.63,MX,1700531575
52,mwinilunga,-11.7358,24.4293,16.42,93,100,1.49,ZM,1700531646
53,springs,-26.25,28.4,17.92,86,98,1.49,ZA,1700531647
54,iskateley,67.6803,53.1512,-17.21,99,92,2.68,RU,1700531648
55,colonia,50.9333,6.95,9.36,92,75,0.51,DE,1700531444
56,smithers,54.7804,-127.1743,3.18,70,100,4.63,CA,1700531650
57,shibetsu,43.659,145.132,6.39,65,20,6.69,JP,1700531652
58,maumere,-8.6199,122.2111,30.03,65,5,0.69,ID,1700531573
59,coruripe,-10.1256,-36.1756,25.14,83,0,4.96,BR,1700531654
60,geraldton,-28.7667,114.6,38.23,11,0,7.2,AU,1700531655
61,lompoc,34.6391,-120.4579,17.1,71,0,3.13,US,1700531588
62,makoua,0.0069,15.6333,22.02,99,100,1.17,CG,1700531657
63,zheshart,62.0731,49.5733,-12.16,97,99,1.97,RU,1700531658
64,akureyri,65.6835,-18.0878,6.96,70,100,12.86,IS,1700531659
65,port saint john's,-31.6229,29.5448,23.59,66,100,1.54,ZA,1700531661
66,harrison,30.4091,-89.0436,23.04,91,100,7.72,US,1700531663
